geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
110010077033000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,115,101,1150000
110010077033001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,778,320,1150000
110010077033002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1126,447,1150000
110010077033003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,253,141,1150000
110010077034000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,151,84,1150000
110010077034001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,599,301,1150000
110010077034002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077081000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077081001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,195,103,1150000
110010077081002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,110,41,1150000
110010077081003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,241,116,1150000
110010077081004,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,276,146,1150000
110010077081005,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,279,128,1150000
110010077081006,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,73,35,1150000
110010077082000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082005,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082008,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082009,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082010,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,425,194,1150000
110010077082011,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,81,57,1150000
110010077082012,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,94,33,1150000
110010077082013,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,46,17,1150000
110010077082014,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,116,67,1150000
110010077082015,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,161,91,1150000
