listing_id,latitude,longitude,neighborhood,room_type,price,review_scores_rating,license,minimum_nights,availability_365,availability_pct,reviews_per_month,host_id,host_name,host_listings_count,is_verified_host,is_high_concentration_host,listing_url,hover_description
16518770,38.89414,-76.98288,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,192.33,4.94,Licensed,3,170,46.6,1.33,36993961,Adriel,1,True,False,https://www.airbnb.com/rooms/16518770,Classy & Elegant on Capitol Hill!
16521785,38.8762,-77.00938,"SW Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire home/apt,217.68,4.63,No License,31,269,73.7,1.78,108624574,Eno,2,True,False,https://www.airbnb.com/rooms/16521785,Modern Nats Park/Capitol Hill Home
16528623,38.91813,-77.02945,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,164.13,4.86,Exempt,31,255,69.9,0.45,107842986,Ina,4,True,False,https://www.airbnb.com/rooms/16528623,Vibrant & Lively U Street 1 BR Home - at Metro
16544141,38.92834,-77.01991,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Private room,131.5,4.83,Licensed,2,51,14.0,2.35,78194147,Genet,7,True,True,https://www.airbnb.com/rooms/16544141,"Central location for DC Visitors ""NILE ROOM"""
16557144,38.90697860717773,-77.02529907226562,"NW-mid Shaw, Logan Circle",Entire home/apt,6178.0,5.0,Licensed,3,363,99.5,0.02,15784084,Matt,1,True,False,https://www.airbnb.com/rooms/16557144,Spectacular Designer Residence - Blagden House
16589585,38.88635,-77.00181,"SE Capitol Hill, Lincoln Park",Entire home/apt,170.67,4.89,Licensed,3,192,52.6,2.85,24051505,Craig,2,True,False,https://www.airbnb.com/rooms/16589585,"Capitol Hill steps to Congress & Metro, Park Pass"
16602138,38.87995,-77.01957,"SW Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire home/apt,85.66,4.7,Licensed,12,96,26.3,0.98,109529688,Robert,1,True,False,https://www.airbnb.com/rooms/16602138,Eng Bsmnt 1br+lvrm sofabed SW DC
16613766,38.9001,-76.99877,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,280.0,4.87,Licensed,2,352,96.4,0.13,5437227,Sophia,1,True,False,https://www.airbnb.com/rooms/16613766,Studio H Street Corridor
16629472,38.89491,-76.98266,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,180.99,4.83,Licensed,1,336,92.1,5.06,9306094,Ashley,1,True,False,https://www.airbnb.com/rooms/16629472,Renovated 1 BD/1 BA Capitol Hill In-Law-Suite
16630937,38.88269,-76.94007,"SE Capitol View, Marshall Heights, Benning Heights",Entire home/apt,242.5,4.52,Licensed,2,251,68.8,2.22,109849144,Mike,1,True,False,https://www.airbnb.com/rooms/16630937,Quiet 3 Story House...20 Min Drive to Everything
16651819,38.85392,-76.9724,"SE Woodland/Fort Stanton, Garfield Heights, Knox Hill",Private room,195.0,4.5,Licensed,2,354,97.0,0.13,109436016,Wenisha,1,True,False,https://www.airbnb.com/rooms/16651819,Blue + Cozy Townhome in DC (Private BR & Bath)
16678182,38.88886,-77.00077,"SE Capitol Hill, Lincoln Park",Entire home/apt,331.0,4.94,Licensed,2,133,36.4,0.8,95221142,Peter,2,True,False,https://www.airbnb.com/rooms/16678182,1 Block to Library of Congress-Capitol Hill-B-ment
